City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Iberia,US,78.98,clear sky,29.9502,-91.7507,back to back rv park
367,Mastic Beach,US,77.32,haze,40.7668,-72.8521,Brushwood House by Smith Point Beach
368,Monster,NL,62.58,clear sky,52.0258,4.175,Hotel Restaurant Unicum Elzenhagen
369,Fairbanks,US,88.09,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
370,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
371,Camacha,PT,66.96,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
372,Point Pleasant,US,81.23,clear sky,40.0832,-74.0682,Point Pleasant Manor
374,Abilene,US,80.82,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
375,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
376,Cabinda,AO,69.94,clear sky,-5.55,12.2,Hotel Maiombe
377,Morden,CA,71.98,overcast clouds,49.1919,-98.1014,Morden Motor Inn
378,Mayumba,GA,70.63,scattered clouds,-3.432,10.6554,LIKWALE LODGE
380,Komsomolskiy,UZ,72.32,overcast clouds,40.4272,71.7189,Ikathouse
381,Mut,TR,74.03,clear sky,36.6439,33.4389,Konak Otel
382,Waingapu,ID,86.13,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
383,Wairoa,NZ,59.56,light rain,-39.0333,177.3667,Riverside Motor Camp
384,Wageningen,NL,60.1,clear sky,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
385,Mainit,PH,85.1,overcast clouds,9.535,125.5231,Kasili Lakeside Resort and Hotel
388,Faya,SA,64.51,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
389,Huaihua,CN,83.77,overcast clouds,27.5494,109.9592,怀化天庆大酒店
390,Iwanai,JP,83.79,broken clouds,42.9744,140.5089,いわない高原ホテル
391,Kurunegala,LK,82.92,overcast clouds,7.4863,80.3623,Galhena Estate Buluwala
395,Petropavlovsk-Kamchatskiy,RU,72.19,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
396,Puerto Colombia,CO,82.49,clear sky,10.9878,-74.9547,Hotel El Emigrante
397,Vestmanna,FO,50.92,light intensity drizzle,62.1564,-7.1664,Budget Guesthouse Borgustova
401,Sompeta,IN,84.45,overcast clouds,18.9333,84.6,Netaji's Home
403,Pinega,RU,52.56,overcast clouds,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
404,Sao Sebastiao,BR,56.05,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
405,Zhangjiakou,CN,78.89,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
406,Golden,US,85.69,smoke,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
