City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
185,Tuy Hoa,VN,13.0833,109.3,91.26,51,93,15.41,overcast clouds
186,Khatanga,RU,71.9667,102.5,58.03,80,100,13.6,overcast clouds
187,Gold Coast,AU,-28.0,153.4333,66.18,41,6,10.0,clear sky
188,Merauke,ID,-8.4667,140.3333,82.18,63,84,18.07,broken clouds
189,Marinette,US,45.1,-87.6307,63.72,82,1,6.91,clear sky
190,Sabha,LY,27.0377,14.4283,78.85,31,0,11.5,clear sky
191,Cabedelo,BR,-6.9811,-34.8339,70.47,86,4,11.43,clear sky
192,Sterling,US,39.0062,-77.4286,81.01,78,1,3.0,clear sky
193,Haines Junction,CA,60.7522,-137.5108,73.35,38,24,8.05,few clouds
194,Atuona,PF,-9.8,-139.0333,77.79,75,78,25.57,broken clouds
195,Jieshi,CN,22.8134,115.8257,85.95,78,91,15.73,overcast clouds
196,Namibe,AO,-15.1961,12.1522,63.3,89,0,1.57,clear sky
197,Aloleng,PH,16.1307,119.7824,81.43,84,100,11.34,overcast clouds
198,Grand Gaube,MU,-20.0064,57.6608,71.38,65,2,7.0,clear sky
199,Honningsvag,NO,70.9821,25.9704,44.19,92,100,31.27,light rain
200,Saint-Joseph,RE,-21.3667,55.6167,68.36,74,23,14.79,few clouds
201,Bayir,TR,37.2687,28.2167,63.12,79,0,4.23,clear sky
202,Sobolevo,RU,54.4299,31.8996,57.06,70,100,5.77,overcast clouds
203,Graham,US,47.0529,-122.2943,72.34,58,20,0.0,few clouds
204,Aviles,ES,43.5547,-5.9248,65.93,93,90,3.44,overcast clouds
205,Bubaque,GW,11.2833,-15.8333,81.23,80,100,15.08,overcast clouds
206,Clyde River,CA,70.4692,-68.5914,35.83,100,90,17.27,light rain
207,Abu Samrah,SY,35.3029,37.1841,72.12,74,0,12.3,clear sky
208,La Ronge,CA,55.1001,-105.2842,68.25,60,75,1.14,smoke
209,Cidreira,BR,-30.1811,-50.2056,49.35,74,26,7.05,scattered clouds
210,Georgetown,MY,5.4112,100.3354,87.73,76,20,1.01,few clouds
211,Helena,US,46.5927,-112.0361,72.59,69,90,6.91,overcast clouds
212,Kismayo,SO,-0.3582,42.5454,76.84,81,94,18.99,overcast clouds
213,Kaeo,NZ,-35.1,173.7833,60.33,93,100,16.51,overcast clouds
214,Airai,TL,-8.9266,125.4092,73.17,45,29,5.82,scattered clouds
215,Guilford,US,36.0668,-79.7998,74.1,78,90,5.75,overcast clouds
216,Seredka,RU,58.1584,28.1858,56.95,92,13,6.44,few clouds
217,Sangmelima,CM,2.9333,11.9833,66.51,99,99,3.06,overcast clouds
218,Nieuw Nickerie,SR,5.95,-56.9833,78.26,86,43,7.74,scattered clouds
219,Vestmannaeyjar,IS,63.4427,-20.2734,52.54,96,100,8.95,overcast clouds
220,Flinders,AU,-34.5833,150.8552,58.21,46,99,5.99,overcast clouds
221,Moree,AU,-29.4667,149.85,50.02,62,75,17.27,broken clouds
222,Tongren,CN,27.7172,109.1853,86.27,71,100,3.74,light rain
223,Najran,SA,17.4924,44.1277,75.85,62,100,6.69,overcast clouds
224,Bengkulu,ID,-3.8004,102.2655,82.71,67,77,2.44,broken clouds
225,Petatlan,MX,17.5167,-101.2667,79.32,88,49,2.86,scattered clouds
226,Vila Velha,BR,-20.3297,-40.2925,60.75,82,40,3.44,scattered clouds
